iter	Passed	Remaining
695	10772	4705
696	10792	4691
697	10809	4676
698	10822	4660
699	10835	4643
700	10849	4627
701	10863	4611
702	10878	4595
703	10892	4579
704	10906	4563
705	10919	4547
706	10933	4531
707	10949	4516
708	10963	4500
709	10977	4483
710	10991	4467
711	11005	4451
712	11019	4435
713	11032	4419
714	11045	4402
715	11058	4386
716	11072	4370
717	11086	4354
718	11100	4338
719	11114	4322
720	11127	4305
721	11138	4288
722	11151	4272
723	11165	4256
724	11178	4240
725	11192	4224
726	11205	4207
727	11217	4191
728	11231	4175
729	11244	4158
730	11256	4142
731	11269	4125
732	11281	4109
733	11295	4093
734	11306	4076
735	11317	4059
736	11329	4043
737	11343	4026
738	11356	4010
739	11371	3995
740	11384	3979
741	11397	3963
742	11410	3946
743	11424	3931
744	11438	3915
745	11451	3898
746	11464	3883
747	11479	3867
748	11492	3851
749	11506	3835
750	11520	3819
751	11531	3802
752	11544	3786
753	11557	3770
754	11569	3754
755	11582	3738
756	11595	3722
757	11609	3706
758	11623	3690
759	11636	3674
760	11649	3658
761	11662	3642
762	11676	3626
763	11692	3611
764	11709	3596
765	11727	3582
766	11749	3569
767	11773	3556
768	11794	3542
769	11820	3530
770	11843	3517
771	11873	3506
772	11894	3492
773	11911	3478
774	11926	3462
775	11941	3447
776	11960	3432
777	11985	3420
778	12000	3404
779	12017	3389
780	12035	3374
781	12050	3359
782	12066	3344
783	12083	3329
784	12098	3313
785	12112	3297
786	12126	3282
787	12140	3266
788	12154	3250
789	12168	3234
790	12182	3218
791	12196	3203
792	12208	3186
793	12221	3170
794	12234	3154
795	12247	3138
796	12259	3122
797	12271	3106
798	12283	3090
799	12296	3074
800	12310	3058
801	12325	3042
802	12337	3026
803	12351	3010
804	12363	2994
805	12376	2979
806	12389	2962
807	12400	2946
808	12414	2930
809	12426	2914
810	12439	2898
811	12451	2882
812	12463	2866
813	12475	2850
814	12486	2834
815	12498	2818
816	12510	2802
817	12522	2786
818	12534	2770
819	12547	2754
820	12559	2738
821	12573	2722
822	12586	2706
823	12597	2690
824	12611	2675
825	12625	2659
826	12639	2644
827	12652	2628
828	12666	2612
829	12679	2596
830	12693	2581
831	12708	2566
832	12725	2551
833	12739	2535
834	12753	2520
835	12767	2504
836	12780	2488
837	12793	2473
838	12807	2457
839	12820	2442
840	12833	2426
841	12845	2410
842	12859	2394
843	12873	2379
844	12888	2364
845	12905	2349
846	12923	2334
847	12938	2319
848	12954	2303
849	12968	2288
850	12982	2273
851	12997	2257
852	13009	2241
853	13022	2226
854	13035	2210
855	13048	2195
856	13061	2179
857	13074	2163
858	13087	2148
859	13099	2132
860	13112	2116
861	13123	2101
862	13138	2085
863	13151	2070
864	13164	2054
865	13175	2038
866	13187	2023
867	13200	2007
868	13212	1991
869	13224	1976
870	13237	1960
871	13250	1944
872	13262	1929
873	13275	1913
874	13287	1898
875	13299	1882
876	13312	1867
877	13324	1851
878	13336	1835
879	13348	1820
880	13361	1804
881	13373	1789
882	13385	1773
883	13398	1758
884	13410	1742
885	13423	1727
886	13435	1711
887	13447	1696
888	13460	1680
889	13472	1665
890	13484	1649
891	13496	1634
892	13509	1618
893	13522	1603
894	13533	1587
895	13544	1572
896	13557	1556
897	13571	1541
898	13584	1526
899	13598	1510
900	13609	1495
901	13621	1479
902	13634	1464
903	13647	1449
904	13659	1433
905	13673	1418
906	13688	1403
907	13702	1388
908	13717	1373
909	13731	1358
910	13743	1342
911	13756	1327
912	13769	1312
913	13782	1296
914	13796	1281
915	13810	1266
916	13822	1251
917	13836	1235
918	13849	1220
919	13864	1205
920	13878	1190
921	13891	1175
922	13904	1159
923	13916	1144
924	13930	1129
925	13944	1114
926	13956	1099
927	13968	1083
928	13981	1068
929	13994	1053
930	14006	1038
931	14020	1022
932	14033	1007
933	14046	992
934	14059	977
935	14073	962
936	14085	947
937	14098	931
938	14110	916
939	14125	901
940	14140	886
941	14154	871
942	14169	856
943	14182	841
944	14196	826
945	14210	811
946	14223	796
947	14236	780
948	14249	765
949	14263	750
950	14278	735
951	14292	720
952	14306	705
953	14318	690
954	14331	675
955	14345	660
956	14356	645
957	14368	629
958	14379	614
959	14391	599
960	14403	584
961	14414	569
962	14426	554
963	14437	539
964	14449	524
965	14460	508
966	14471	493
967	14482	478
968	14494	463
969	14505	448
970	14517	433
971	14528	418
972	14540	403
973	14558	388
974	14588	374
975	14609	359
976	14627	344
977	14641	329
978	14658	314
979	14674	299
980	14690	284
981	14705	269
982	14719	254
983	14734	239
984	14752	224
985	14769	209
986	14785	194
987	14802	179
988	14819	164
989	14841	149
990	14861	134
991	14880	120
992	14896	105
993	14913	90
994	14927	75
995	14940	60
996	14954	44
997	14968	29
998	14982	14
999	14996	0
